T,t,strength_result1,strength_result2,strength_result3,modulus_result1,modulus_result2,modulus_result3,elongation_result1,elongation_result2,elongation_result3,tg_result1,tg_result2,tg_result3
0.06,0.71,130.33561502818023,135.08938675965322,142.15506308805013,4324.6956751243015,4494.161867014514,4354.8697790976585,5.114954854660912,5.8887743064023645,6.811056493695789,122.68957289532102,125.10473214648772,126.0998260718876
0.06,0.72,130.74641629997683,134.7991890760619,142.22080036588244,4317.6787168884985,4491.934299037221,4349.320891230314,5.142285670403117,5.866136443910731,6.813643494834207,122.7422107016294,124.96797863311389,125.94996952916955
0.06,0.73,131.1415628960606,134.50155702269254,142.26856007259335,4310.697041072308,4489.455745342653,4343.732131481034,5.168258664436985,5.842942478815562,6.814272887953555,122.79484843250015,124.82879422058497,125.7994551468943
0.06,0.74,131.51999182415213,134.1963491495681,142.29804120615685,4303.753231506093,4486.722362780485,4338.101915641877,5.192813358412593,5.819189435460162,6.812947933323571,122.84722226898913,124.6871492523471,125.64823022162892
0.06,0.75,131.88069412466086,133.88340858641467,142.30896008310282,4296.849193601647,4483.730457595675,4332.428462215705,5.215893733207186,5.794873378920999,6.8096737814579535,122.89906461553073,124.54300486843007,125.49622885514336
0.06,0.76,132.22271592972618,133.5625644095599,142.30105029676267,4289.986165717655,4480.476493536355,4326.709801564866,5.237448268134256,5.769989510017405,6.804457433248269,122.9501047346273,124.39631340629495,125.34337268917113
0.06,0.77,132.54515916431296,133.23363310485934,142.2740626885006,4283.164733862381,4476.957099669697,4320.943785285015,5.25742995376756,5.744532268987313,6.797307702552612,123.00006937860908,124.24701884931153,125.18957167164919
0.06,0.78,132.84718192054464,132.8964201152341,142.22776533916274,4276.384849471033,4473.169077872291,4315.128095812101,5.275796280641273,5.718495446870292,6.788235181222612,123.04868341701138,124.09505731799493,125.0347248472483
0.06,0.79,133.1279985372673,132.55072146065913,142.16194358539576,4269.645849980538,4469.109409958588,4309.2602562658285,5.2925092061441585,5.691872303541963,6.777252206439582,123.09567045802495,123.94035759878392,124.87872116564515
0.06,0.8,133.38687941689983,132.19632541779913,142.07640006319116,4262.946481914623,4464.775264410302,4303.33764052741,5.307535101933536,5.664655691259297,6.764372830131925,123.1407534624112,123.78284170487461,124.72144030158967
0.06,0.81,133.62315061105204,131.8330142459617,141.97095477899208,4256.28492618764,4460.164002668935,4297.357483545547,5.320844684159569,5.636838182504717,6.749612790162612,123.18365534826697,123.62242546346917,124.56275348141062
0.06,0.82,133.83619320525997,131.46056594563345,141.84544520699873,4249.658825335566,4455.273184954967,4291.3168918595165,5.332412928717511,5.608412200860884,6.732989482908666,123.2240995850162,123.45901912374472,124.40252431114357
0.06,0.83,134.02544253159863,131.078756035611,141.69972640989582,4243.0653123861775,4450.100575579327,4285.212854323812,5.342218973642519,5.579370153608808,6.714521936803591,123.26181077506104,123.29252797987812,124.24060960197195
0.06,0.84,134.19038723599812,130.68735933462426,141.53367117910804,4236.501041088097,4444.644147715651,4279.042253014653,5.350246010634627,5.549704564720357,6.6942307863790464,123.29651522158096,123.12285300359801,124.07686018913725
0.06,0.85,134.33056822490204,130.28615173340353,141.34717018983764,4229.962217228185,4438.90208760608,4272.801874294793,5.356481167557254,5.519408206913475,6.672138246322525,123.32794148105043,122.9498914809337,123.9111217408886
0.06,0.86,134.4455775135673,129.874911943366,141.14013216554386,4223.444630778926,4432.872798177163,4266.4884200089455,5.360915383597401,5.488474231454834,6.648268085062502,123.35582089915226,122.77353764810874,123.74323555443141
0.06,0.87,134.53505699589374,129.45342320847936,140.91248404614157,4216.943688631662,4426.554902048214,4260.098518779392,5.363543278614898,5.456896294430071,6.622645597400709,123.37988812886388,122.5936833218538,123.57303933615466
0.06,0.88,134.59869715326687,129.0214749674241,140.6641711540288,4210.454447686239,4419.947243918836,4253.6287373681025,5.364363018046254,5.424668678255964,6.5952975757306564,123.39988162961086,122.41021851979471,123.40036796373843
0.06,0.89,134.63623571755454,128.57886445388735,140.39515735204296,4203.971648083523,4413.048892328165,4247.075592069086,5.363376174570507,5.391786407280607,6.566252279411923,123.41554414650204,122.22303206696813,123.22505422799733
0.06,0.9,134.6474563011768,128.12539822368856,140.10542518759712,4197.489746383631,4405.8591407834865,4240.43556009309,5.360587587592455,5.3582453564059005,6.535539401908408,123.42662316877133,122.03201218496,123.04692955256473
0.06,0.91,134.63218700509077,127.66089359843706,139.79497601751424,4191.002948508474,4398.377508260659,4233.705090904938,5.356005221455645,5.324042351769072,6.503190035345142,123.43287136666885,121.83704706058975,122.86582468973495
0.06,0.92,134.59029901364073,127.18518001652859,139.4638301084485,4184.505242283838,4390.603739084414,4226.880617472991,5.349640023164935,5.289175262635231,6.469236632190205,123.4340470061542,121.63802539150683,122.6815703909788
0.06,0.93,134.5217051835198,126.69810028349592,139.1120267082319,4177.990429431251,4382.537802200104,4219.958567389704,5.341505780278218,5.253643083777604,6.433712963824512,123.42991434084402,121.43483690649953,122.4939980508226
0.06,0.94,134.42635863258877,126.19951171499957,138.73962408399674,4171.45215687597,4374.179889853493,4212.935373822422,5.331618979517956,5.217446007754854,6.396654075821347,123.42024398077353,121.22737285873066,122.30294032295248
0.06,0.95,134.3042513329989,125.68928716705479,138.34669952347969,4164.883947251183,4365.530415698286,4205.807486254114,5.319998666557691,5.180585486631791,6.3580962398180665,123.40481323761742,121.01552649050984,122.1082317075543
0.06,0.96,134.15541271195661,125.1673159494315,137.9333492964895,4158.279228493298,4356.590012354733,4198.571380974858,5.306666307354546,5.1430642828290685,6.318076901922971,123.38340644610565,120.79919346858188,121.90970910905324
0.06,0.97,133.97990826255193,124.63350461948261,137.49968857412057,4151.631362436201,4347.35952844536,4191.223571286486,5.29164565132674,5.1048865089261355,6.27663462766009,123.35581526146024,120.57827228925697,121.70721236355178
0.06,0.98,133.7778381663167,124.0877776549616,137.04585130388773,4144.9336723249,4337.840025136222,4183.7606173849,5.27496259661364,5.066057656377109,6.233809043512056,123.32183893274399,120.3526646530108,121.50058473540722
0.06,0.99,133.5493359285924,123.53007800563381,136.57199003954304,4138.179469181501,4328.032772214192,4176.179135886599,5.256645057604663,5.026584613229405,6.189640775175827,123.2812845521008,120.12227580846755,121.28967338252531
0.06,1.0,133.2945670273262,122.96036752467418,136.07827572490595,4131.36207696722,4317.939243732166,4168.475808969266,5.236722834881138,4.986475671057533,6.144171382696561,123.2339672799269,119.88701486592697,121.07432979007251
0.07,0.0,115.4252512682377,128.91823460728625,113.40908139206218,4400.542147281223,4255.941673151952,4445.4506136821055,3.601517934073648,5.411872700122247,3.571370250487951,122.79013940179487,123.03858496835784,127.18044086308561
0.07,0.01,115.53896763470186,129.5434441345684,114.0347369414935,4410.373458615657,4263.271440155044,4453.67642144447,3.613018779806654,5.456509065693201,3.622126733489118,122.86703657418951,123.3125149544947,127.40268236771416
0.07,0.02,115.6343173614863,130.1516414622557,114.65279349484757,4419.89820177925,4270.464988821324,4461.531554465399,3.6237872270755105,5.50015402674919,3.6734258171670167,122.93550781421794,123.57863534994678,127.61681737806171
0.07,0.03,115.71199043393551,130.74260782297807,115.26329487670924,4429.111715150308,4277.525464478429,4469.014385474713,3.6338552716882404,5.542779663049917,3.7252687033795624,122.99573783115343,123.83689025414691,127.82284639323223
0.07,0.04,115.77274689265741,131.31614428375264,115.8662950645896,4438.009366213802,4284.456015081967,4476.1236783933,3.6432589536065034,5.584359582415779,3.7776552449641025,123.04792569212677,124.08722749613605,128.0207724562315
0.07,0.05,115.81741583108331,131.87207205543763,116.46185758691564,4446.586565351785,4291.2597797664275,4482.858605159909,3.652038324320202,5.624868962576624,3.8305837920529853,123.09228463067922,124.32959882777288,128.21060090526822
0.07,0.06,115.84689393123148,132.41023272496545,117.050054895783,4454.8387811166285,4297.939877327506,4489.218761756274,3.66023738590159,5.664284584034364,3.8840510393720287,123.1290417869248,124.5639601249242,128.3923391335333
0.07,0.07,115.8621435354377,132.9304884115048,117.63096772618479,4462.761556941041,4304.499394664032,4495.204183228536,3.66790400133182,5.7025848541485615,3.9380518766645833,123.15843787904438,124.79027159577896,128.56599636401546
0.07,0.08,115.86419025618636,133.43272184865464,118.20468445366961,4470.350529218491,4310.941375206305,4500.815357496558,3.675089775948164,5.7397498227985615,3.9925792444807087,123.18072680640068,125.0084979952174,128.73158344615234
0.07,0.09,115.85412013015736,133.91683639567245,118.77130046213458,4477.601446669898,4317.26880735558,4506.0532377403,3.681849910093879,5.775761190105904,4.047623997613025,123.1961751850811,125.21860884394914,128.8891126811869
0.07,0.1,115.8330763261315,134.38275598152276,119.33091753265467,4484.510190896219,4323.4846129579455,4510.9192531539975,3.6882430232592496,5.810602306813258,4.1031747784408275,123.20506181713867,125.4205786509338,129.03859768297838
